_id,Tema,Fichas_Dataset,XLS,SHP,KML,CSV,RSS,JSON,XML,ODS,RDF,GTFS,TSV,URL_ficha
91,Sector público,Encuesta de ocupación hotelera,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/encuesta-de-ocupacion-hotelera
92,Sector público,Encuesta de Población Activa (EPA),,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/encuesta-de-poblacion-activa-epa
93,Sector público,Encuesta de Población Activa. Zonas Navarra 2000,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/encuesta-de-poblacion-activa--zonas-navarra-2000
94,Sector público,Encuesta de presupuestos familiares,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/encuesta-de-presupuestos-familiares
95,Sector público,Encuesta Industrial de Productos (EIP),,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/encuesta-industrial-de-productos-eip
96,Sector público,Encuesta sobre innovación en las empresas,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/encuesta-sobre-innovacion-en-las-empresas
97,Sector público,Encuesta sobre personas sin hogar,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/encuesta-sobre-personas-sin-hogar
98,Sector público,Encuesta social y condiciones de vida,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/encuesta-social-y-condiciones-de-vida
99,Sector público,Encuesta trimestral de coste laboral,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/encuesta-trimestral-de-coste-laboral
100,Legislación y justicia,Entidades locales de Navarra,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/entidades-locales-de-navarra
101,Ciencia y tecnología,Equipos alta tecnología SNS-O,P,,,,,,,P,,,,https://datosabiertos.navarra.es/es/dataset/equipos-alta-tecnolog-a-sns-o
102,Empleo,ERTE expedientes activos,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/ertes-expedientes-activos
103,Empleo,ERTE expedientes acumulados,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/ertes-expedientes-acumulados
104,Empleo,ERTE trabajadores afectados,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/ertes-trabajadores-afectados
105,Medio ambiente,Espacios naturales,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/espacios-naturales
106,Cultura y ocio,Establecimientos hoteleros en activo del Registro de Turismo de Navarra,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/establecimientos-hoteleros-en-activo-del-registro-de-turismo-de-navarra
107,Sector público,Estadística de Bibliotecas,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/estadistica-de-bibliotecas
108,Sector público,Estadística de convenios colectivos de trabajo,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/estadistica-de-convenios-colectivos-de-trabajo
109,Sector público,Estadística de Hipotecas,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/estadistica-de-hipotecas
110,Sector público,Estadística de la oferta y demanda de puestos de trabajo,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/estadistica-de-la-oferta-y-demanda-de-puestos-de-trabajo
111,Sector público,Estadística del valor tasado de la vivienda,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/estadistica-del-valor-tasado-de-la-vivienda
112,Sector público,Estadística de migraciones,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/estadistica-de-migraciones
113,Sector público,Estadística de natalidad y fecundidad,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/estadistica-de-natalidad-y-fecundidad
114,Sector público,Estadística de Procedimiento Concursal,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/estadistica-de-procedimiento-concursal
115,Sector público,Estadística de Sociedades Mercantiles,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/estadistica-de-sociedades-mercantiles
116,Sector público,Estadística de transición educativo-formativa e inserción laboral,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/estadistica-de-transicion-educativo-formativa-e-insercion-laboral
117,Sector público,Estadística de Transmisiones de Derechos de la Propiedad,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/estadistica-de-transmisiones-de-derechos-de-la-propiedad
118,Sector público,Estadística estructural de empresas. Industria,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/estadistica-estructural-de-empresas--industria
119,Sector público,Estadística estructural de empresas: Módulo comercio,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/estadistica-estructural-de-empresas--modulo-comercio
120,Sector público,Estadística estructural de empresas: Módulo Servicios,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/estadistica-estructural-de-empresas--modulo-servicios
121,Sector público,Estadística municipal de estructura salarial,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/estadistica-municipal-de-estructura-salarial
122,Sector público,Estadística municipal de población activa,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/estadistica-municipal-de-poblacion-activa
123,Sector público,Estadísticas de la renta,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/estadisticas-de-la-renta
124,Sector público,Estadística sobre actividades de I+D,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/estadistica-sobre-actividades-de-id
125,Sector público,Estadística sobre el uso de biotecnología,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/estadistica-sobre-el-uso-de-biotecnologia
126,Sector público,Estructura de la construcción ,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/estructura-de-la-construccion-
127,Medio ambiente,Evaluación regional de Navarra (seguimiento anual ETN),P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/evaluaci-n-regional-de-navarra-seguimiento-anual-etn-
128,Sector público,Expedientes contables de las Mancomunidades y Agrupaciones de Municipios de Navarra,,,P,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/expedientes-contables-de-las-mancomunidades-y-agrupaciones-de-municipios-de-navarra
129,Sector público,Expedientes contables de los Concejos de Navarra,,,P,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/expedientes-contables-de-los-concejos-de-navarra
130,Sector público,Expedientes contables de los Municipios de Navarra,,,P,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/expedientes-contables-de-los-municipios-de-navarra
131,Salud,Farmacias abiertas al público,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/farmacias-abiertas-al-p-blico
132,Salud,Farmacias de guardia,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/farmacias-de-guardia
